prompt,response
## Founder’s CheckIn ### **Questions,for Discussion** amongst founders * _How will you describe the
you reinforce/live/improve your culture?_ *,_What are some challenges/questions you are grappling with around building
reinforce/live/improve your culture?_ * _What,are some challenges/questions you are grappling with around building a
your culture?_ * _What are,some challenges/questions you are grappling with around building a better
culture?_ * _What are some,challenges/questions you are grappling with around building a better culture?_
* _What are some challenges/questions,you are grappling with around building a better culture?_ *
_What are some challenges/questions you,are grappling with around building a better culture?_ * _What
are some challenges/questions you are,grappling with around building a better culture?_ * _What do
some challenges/questions you are grappling,with around building a better culture?_ * _What do the
challenges/questions you are grappling with,around building a better culture?_ * _What do the above
you are grappling with around,building a better culture?_ * _What do the above mean
are grappling with around building,a better culture?_ * _What do the above mean for
grappling with around building a,better culture?_ * _What do the above mean for offline,
with around building a better,culture?_ * _What do the above mean for offline, remote
around building a better culture?_,* _What do the above mean for offline, remote or
building a better culture?_ *,_What do the above mean for offline, remote or hybrid
a better culture?_ * _What,do the above mean for offline, remote or hybrid teams?_
better culture?_ * _What do,the above mean for offline, remote or hybrid teams?_ ###
culture?_ * _What do the,above mean for offline, remote or hybrid teams?_ ### **Resources
* _What do the above,mean for offline, remote or hybrid teams?_ ### **Resources for
_What do the above mean,for offline, remote or hybrid teams?_ ### **Resources for Running,
do the above mean for,offline, remote or hybrid teams?_ ### **Resources for Running, Building
the above mean for offline,,remote or hybrid teams?_ ### **Resources for Running, Building Culture
above mean for offline, remote,or hybrid teams?_ ### **Resources for Running, Building Culture and
mean for offline, remote or,hybrid teams?_ ### **Resources for Running, Building Culture and defining
for offline, remote or hybrid,teams?_ ### **Resources for Running, Building Culture and defining values**
offline, remote or hybrid teams?_,### **Resources for Running, Building Culture and defining values** ####
remote or hybrid teams?_ ###,**Resources for Running, Building Culture and defining values** #### Here
or hybrid teams?_ ### **Resources,for Running, Building Culture and defining values** #### Here is
hybrid teams?_ ### **Resources for,Running, Building Culture and defining values** #### Here is a
teams?_ ### **Resources for Running,,Building Culture and defining values** #### Here is a great
### **Resources for Running, Building,Culture and defining values** #### Here is a great session
**Resources for Running, Building Culture,and defining values** #### Here is a great session on
for Running, Building Culture and,defining values** #### Here is a great session on building
Running, Building Culture and defining,values** #### Here is a great session on building culture
Building Culture and defining values**,#### Here is a great session on building culture and
Culture and defining values** ####,Here is a great session on building culture and engagement
and defining values** #### Here,is a great session on building culture and engagement for
defining values** #### Here is,a great session on building culture and engagement for remote
values** #### Here is a,great session on building culture and engagement for remote teams
#### Here is a great,session on building culture and engagement for remote teams by
Here is a great session,on building culture and engagement for remote teams by Nitesh
is a great session on,building culture and engagement for remote teams by Nitesh Agrawal,
a great session on building,culture and engagement for remote teams by Nitesh Agrawal, CO
great session on building culture,and engagement for remote teams by Nitesh Agrawal, CO Founder
session on building culture and,engagement for remote teams by Nitesh Agrawal, CO Founder of
on building culture and engagement,for remote teams by Nitesh Agrawal, CO Founder of Lets
building culture and engagement for,remote teams by Nitesh Agrawal, CO Founder of Lets Dive
culture and engagement for remote,teams by Nitesh Agrawal, CO Founder of Lets Dive from
and engagement for remote teams,by Nitesh Agrawal, CO Founder of Lets Dive from Surge
engagement for remote teams by,Nitesh Agrawal, CO Founder of Lets Dive from Surge 04:
com/NtNvipXQF6Gj3CnU9> * There are many,more questions to use as prompts here for building the
* There are many more,questions to use as prompts here for building the culture
There are many more questions,to use as prompts here for building the culture :
so/surgehead/Culture-Mission-Values-1836486a30244a4b80e34598751bd4ad#5941f98ff47e4d26b250d55a1cafb1f7> * **The defining of,values should be bottom up and should be done with
* **The defining of values,should be bottom up and should be done with everyone
**The defining of values should,be bottom up and should be done with everyone on
defining of values should be,bottom up and should be done with everyone on the
of values should be bottom,up and should be done with everyone on the call
values should be bottom up,and should be done with everyone on the call via
should be bottom up and,should be done with everyone on the call via zoom/townHall
** Meesho had done this,across 200 team members over a series of OffSite session
Meesho had done this across,200 team members over a series of OffSite session -
had done this across 200,team members over a series of OffSite session - the
done this across 200 team,members over a series of OffSite session - the biggest
this across 200 team members,over a series of OffSite session - the biggest agenda
across 200 team members over,a series of OffSite session - the biggest agenda is
200 team members over a,series of OffSite session - the biggest agenda is the
team members over a series,of OffSite session - the biggest agenda is the Values
members over a series of,OffSite session - the biggest agenda is the Values and
over a series of OffSite,session - the biggest agenda is the Values and the
a series of OffSite session,- the biggest agenda is the Values and the Vision
series of OffSite session -,the biggest agenda is the Values and the Vision Piece
of OffSite session - the,biggest agenda is the Values and the Vision Piece *
OffSite session - the biggest,agenda is the Values and the Vision Piece * Some
session - the biggest agenda,is the Values and the Vision Piece * Some more
- the biggest agenda is,the Values and the Vision Piece * Some more prompts,
the biggest agenda is the,Values and the Vision Piece * Some more prompts, will
biggest agenda is the Values,and the Vision Piece * Some more prompts, will add
agenda is the Values and,the Vision Piece * Some more prompts, will add them
is the Values and the,Vision Piece * Some more prompts, will add them to
the Values and the Vision,Piece * Some more prompts, will add them to Notion:
Values and the Vision Piece,* Some more prompts, will add them to Notion: Ask
and the Vision Piece *,Some more prompts, will add them to Notion: Ask yourself
the Vision Piece * Some,more prompts, will add them to Notion: Ask yourself “What
Vision Piece * Some more,prompts, will add them to Notion: Ask yourself “What clues
Piece * Some more prompts,,will add them to Notion: Ask yourself “What clues can
* Some more prompts, will,add them to Notion: Ask yourself “What clues can you
Some more prompts, will add,them to Notion: Ask yourself “What clues can you gather
more prompts, will add them,to Notion: Ask yourself “What clues can you gather by
prompts, will add them to,Notion: Ask yourself “What clues can you gather by looking
will add them to Notion:,Ask yourself “What clues can you gather by looking at
add them to Notion: Ask,yourself “What clues can you gather by looking at your
them to Notion: Ask yourself,“What clues can you gather by looking at your organization
to Notion: Ask yourself “What,clues can you gather by looking at your organization as
Notion: Ask yourself “What clues,can you gather by looking at your organization as an
Ask yourself “What clues can,you gather by looking at your organization as an outsider?”
yourself “What clues can you,gather by looking at your organization as an outsider?” Imagine
“What clues can you gather,by looking at your organization as an outsider?” Imagine you
clues can you gather by,looking at your organization as an outsider?” Imagine you are
can you gather by looking,at your organization as an outsider?” Imagine you are an
you gather by looking at,your organization as an outsider?” Imagine you are an anthropologist
gather by looking at your,organization as an outsider?” Imagine you are an anthropologist encountering
by looking at your organization,as an outsider?” Imagine you are an anthropologist encountering your
looking at your organization as,an outsider?” Imagine you are an anthropologist encountering your organization
at your organization as an,outsider?” Imagine you are an anthropologist encountering your organization in
your organization as an outsider?”,Imagine you are an anthropologist encountering your organization in the
organization as an outsider?” Imagine,you are an anthropologist encountering your organization in the wild
as an outsider?” Imagine you,are an anthropologist encountering your organization in the wild for
an outsider?” Imagine you are,an anthropologist encountering your organization in the wild for the
outsider?” Imagine you are an,anthropologist encountering your organization in the wild for the first
Use the worksheet to document,what seems to be particular to the people in this
Who appear to be their,heroes and legends? What sayings do you hear? What customs
appear to be their heroes,and legends? What sayings do you hear? What customs and
to be their heroes and,legends? What sayings do you hear? What customs and rituals
be their heroes and legends?,What sayings do you hear? What customs and rituals do
their heroes and legends? What,sayings do you hear? What customs and rituals do you
heroes and legends? What sayings,do you hear? What customs and rituals do you observe?
and legends? What sayings do,you hear? What customs and rituals do you observe? What
legends? What sayings do you,hear? What customs and rituals do you observe? What artefacts
What sayings do you hear?,What customs and rituals do you observe? What artefacts do
sayings do you hear? What,customs and rituals do you observe? What artefacts do they
do you hear? What customs,and rituals do you observe? What artefacts do they hold
you hear? What customs and,rituals do you observe? What artefacts do they hold as
hear? What customs and rituals,do you observe? What artefacts do they hold as having
What customs and rituals do,you observe? What artefacts do they hold as having great
customs and rituals do you,observe? What artefacts do they hold as having great importance?
and rituals do you observe?,What artefacts do they hold as having great importance? *
rituals do you observe? What,artefacts do they hold as having great importance? * Questions
do you observe? What artefacts,do they hold as having great importance? * Questions Virtual
you observe? What artefacts do,they hold as having great importance? * Questions Virtual Internships
observe? What artefacts do they,hold as having great importance? * Questions Virtual Internships use
What artefacts do they hold,as having great importance? * Questions Virtual Internships use for
artefacts do they hold as,having great importance? * Questions Virtual Internships use for Culture,
do they hold as having,great importance? * Questions Virtual Internships use for Culture, by
they hold as having great,importance? * Questions Virtual Internships use for Culture, by their
hold as having great importance?,* Questions Virtual Internships use for Culture, by their value:
so/surgehead/Interviewing-for-Culture-Fit-6ad95971973a49f380b6b381af5f990a> ### **Pointers on Culture,by other Founders** * **Anuraag** : Transparent, People are open
### **Pointers on Culture by,other Founders** * **Anuraag** : Transparent, People are open seeking
**Pointers on Culture by other,Founders** * **Anuraag** : Transparent, People are open seeking for
on Culture by other Founders**,* **Anuraag** : Transparent, People are open seeking for help
Culture by other Founders** *,**Anuraag** : Transparent, People are open seeking for help and
by other Founders** * **Anuraag**,: Transparent, People are open seeking for help and also
other Founders** * **Anuraag** :,Transparent, People are open seeking for help and also given
Founders** * **Anuraag** : Transparent,,People are open seeking for help and also given feedback
* **Anuraag** : Transparent, People,are open seeking for help and also given feedback *
**Anuraag** : Transparent, People are,open seeking for help and also given feedback * **Jann**
: Transparent, People are open,seeking for help and also given feedback * **Jann** :
Transparent, People are open seeking,for help and also given feedback * **Jann** : Want
People are open seeking for,help and also given feedback * **Jann** : Want to
are open seeking for help,and also given feedback * **Jann** : Want to learn
open seeking for help and,also given feedback * **Jann** : Want to learn a
seeking for help and also,given feedback * **Jann** : Want to learn a bit
for help and also given,feedback * **Jann** : Want to learn a bit more
help and also given feedback,* **Jann** : Want to learn a bit more about
Different offices have different sort,of culture - bogota office seems to be on the
offices have different sort of,culture - bogota office seems to be on the younger
have different sort of culture,- bogota office seems to be on the younger side
different sort of culture -,bogota office seems to be on the younger side =>
sort of culture - bogota,office seems to be on the younger side => challenges
of culture - bogota office,seems to be on the younger side => challenges around
culture - bogota office seems,to be on the younger side => challenges around Remote
- bogota office seems to,be on the younger side => challenges around Remote *
bogota office seems to be,on the younger side => challenges around Remote * Designed
office seems to be on,the younger side => challenges around Remote * Designed a
seems to be on the,younger side => challenges around Remote * Designed a document
to be on the younger,side => challenges around Remote * Designed a document based
be on the younger side,=> challenges around Remote * Designed a document based on
on the younger side =>,challenges around Remote * Designed a document based on the
the younger side => challenges,around Remote * Designed a document based on the Questions
younger side => challenges around,Remote * Designed a document based on the Questions given
side => challenges around Remote,* Designed a document based on the Questions given to
=> challenges around Remote *,Designed a document based on the Questions given to the
challenges around Remote * Designed,a document based on the Questions given to the team
around Remote * Designed a,document based on the Questions given to the team *
Remote * Designed a document,based on the Questions given to the team * In
* Designed a document based,on the Questions given to the team * In the
Designed a document based on,the Questions given to the team * In the interview,
a document based on the,Questions given to the team * In the interview, it
document based on the Questions,given to the team * In the interview, it becomes
based on the Questions given,to the team * In the interview, it becomes difficult
on the Questions given to,the team * In the interview, it becomes difficult to
the Questions given to the,team * In the interview, it becomes difficult to maintain
Questions given to the team,* In the interview, it becomes difficult to maintain the
given to the team *,In the interview, it becomes difficult to maintain the discipline
to the team * In,the interview, it becomes difficult to maintain the discipline when
the team * In the,interview, it becomes difficult to maintain the discipline when everything
team * In the interview,,it becomes difficult to maintain the discipline when everything goes
* In the interview, it,becomes difficult to maintain the discipline when everything goes good
In the interview, it becomes,difficult to maintain the discipline when everything goes good but
the interview, it becomes difficult,to maintain the discipline when everything goes good but the
interview, it becomes difficult to,maintain the discipline when everything goes good but the last
it becomes difficult to maintain,the discipline when everything goes good but the last thing
becomes difficult to maintain the,discipline when everything goes good but the last thing is
difficult to maintain the discipline,when everything goes good but the last thing is not
to maintain the discipline when,everything goes good but the last thing is not in
That is something we have,not been able to maintain yet * **CELEBRATE** small successes
is something we have not,been able to maintain yet * **CELEBRATE** small successes in
something we have not been,able to maintain yet * **CELEBRATE** small successes in the
we have not been able,to maintain yet * **CELEBRATE** small successes in the team:
have not been able to,maintain yet * **CELEBRATE** small successes in the team: One
not been able to maintain,yet * **CELEBRATE** small successes in the team: One person
been able to maintain yet,* **CELEBRATE** small successes in the team: One person is
able to maintain yet *,**CELEBRATE** small successes in the team: One person is getting
to maintain yet * **CELEBRATE**,small successes in the team: One person is getting a
maintain yet * **CELEBRATE** small,successes in the team: One person is getting a fridge
yet * **CELEBRATE** small successes,in the team: One person is getting a fridge and
* **CELEBRATE** small successes in,the team: One person is getting a fridge and we
**CELEBRATE** small successes in the,team: One person is getting a fridge and we are
small successes in the team:,One person is getting a fridge and we are celebrating
**Concept of Wall of Wins**,* **Fatima** : Every meeting notes from meeting shared in
of Wall of Wins** *,**Fatima** : Every meeting notes from meeting shared in a
Wall of Wins** * **Fatima**,: Every meeting notes from meeting shared in a thread,
of Wins** * **Fatima** :,Every meeting notes from meeting shared in a thread, no
Wins** * **Fatima** : Every,meeting notes from meeting shared in a thread, no matter
* **Fatima** : Every meeting,notes from meeting shared in a thread, no matter who
**Fatima** : Every meeting notes,from meeting shared in a thread, no matter who is
: Every meeting notes from,meeting shared in a thread, no matter who is in
Every meeting notes from meeting,shared in a thread, no matter who is in the
meeting notes from meeting shared,in a thread, no matter who is in the call
notes from meeting shared in,a thread, no matter who is in the call (Accountability
from meeting shared in a,thread, no matter who is in the call (Accountability is
meeting shared in a thread,,no matter who is in the call (Accountability is top-down);
shared in a thread, no,matter who is in the call (Accountability is top-down); We
in a thread, no matter,who is in the call (Accountability is top-down); We have
a thread, no matter who,is in the call (Accountability is top-down); We have also
thread, no matter who is,in the call (Accountability is top-down); We have also created
no matter who is in,the call (Accountability is top-down); We have also created a
matter who is in the,call (Accountability is top-down); We have also created a bot
who is in the call,(Accountability is top-down); We have also created a bot that
is in the call (Accountability,is top-down); We have also created a bot that shares
in the call (Accountability is,top-down); We have also created a bot that shares what
the call (Accountability is top-down);,We have also created a bot that shares what progress
call (Accountability is top-down); We,have also created a bot that shares what progress is
(Accountability is top-down); We have,also created a bot that shares what progress is there
is top-down); We have also,created a bot that shares what progress is there for
top-down); We have also created,a bot that shares what progress is there for the
We have also created a,bot that shares what progress is there for the platform
have also created a bot,that shares what progress is there for the platform for
also created a bot that,shares what progress is there for the platform for Discord
created a bot that shares,what progress is there for the platform for Discord ==>
a bot that shares what,progress is there for the platform for Discord ==> **High
bot that shares what progress,is there for the platform for Discord ==> **High Impact
that shares what progress is,there for the platform for Discord ==> **High Impact is
shares what progress is there,for the platform for Discord ==> **High Impact is Meeting
what progress is there for,the platform for Discord ==> **High Impact is Meeting minutes
progress is there for the,platform for Discord ==> **High Impact is Meeting minutes channel**
is there for the platform,for Discord ==> **High Impact is Meeting minutes channel** *
there for the platform for,Discord ==> **High Impact is Meeting minutes channel** * Did
for the platform for Discord,==> **High Impact is Meeting minutes channel** * Did a
the platform for Discord ==>,**High Impact is Meeting minutes channel** * Did a 5
platform for Discord ==> **High,Impact is Meeting minutes channel** * Did a 5 hours
for Discord ==> **High Impact,is Meeting minutes channel** * Did a 5 hours exercise
Discord ==> **High Impact is,Meeting minutes channel** * Did a 5 hours exercise on
==> **High Impact is Meeting,minutes channel** * Did a 5 hours exercise on Values
**High Impact is Meeting minutes,channel** * Did a 5 hours exercise on Values with
Impact is Meeting minutes channel**,* Did a 5 hours exercise on Values with the
is Meeting minutes channel** *,Did a 5 hours exercise on Values with the Core
Meeting minutes channel** * Did,a 5 hours exercise on Values with the Core team
minutes channel** * Did a,5 hours exercise on Values with the Core team and
channel** * Did a 5,hours exercise on Values with the Core team and other
* Did a 5 hours,exercise on Values with the Core team and other key
Did a 5 hours exercise,on Values with the Core team and other key members
a 5 hours exercise on,Values with the Core team and other key members *
5 hours exercise on Values,with the Core team and other key members * After
hours exercise on Values with,the Core team and other key members * After that
exercise on Values with the,Core team and other key members * After that exercise,
on Values with the Core,team and other key members * After that exercise, we
Values with the Core team,and other key members * After that exercise, we have
with the Core team and,other key members * After that exercise, we have a
the Core team and other,key members * After that exercise, we have a better
Core team and other key,members * After that exercise, we have a better understanding
team and other key members,* After that exercise, we have a better understanding of
and other key members *,After that exercise, we have a better understanding of our
other key members * After,that exercise, we have a better understanding of our teammates
key members * After that,exercise, we have a better understanding of our teammates =>
members * After that exercise,,we have a better understanding of our teammates => What
* After that exercise, we,have a better understanding of our teammates => What are
After that exercise, we have,a better understanding of our teammates => What are the
that exercise, we have a,better understanding of our teammates => What are the core
exercise, we have a better,understanding of our teammates => What are the core values
we have a better understanding,of our teammates => What are the core values we
have a better understanding of,our teammates => What are the core values we stand
a better understanding of our,teammates => What are the core values we stand up
Where could we compromise, where,we cannot? ==>They have made it publicly available on their
could we compromise, where we,cannot? ==>They have made it publicly available on their Website
we compromise, where we cannot?,==>They have made it publicly available on their Website in
compromise, where we cannot? ==>They,have made it publicly available on their Website in their
where we cannot? ==>They have,made it publicly available on their Website in their careers
we cannot? ==>They have made,it publicly available on their Website in their careers page
cannot? ==>They have made it,publicly available on their Website in their careers page *
==>They have made it publicly,available on their Website in their careers page * Interesting
have made it publicly available,on their Website in their careers page * Interesting stories
made it publicly available on,their Website in their careers page * Interesting stories came
it publicly available on their,Website in their careers page * Interesting stories came in:
publicly available on their Website,in their careers page * Interesting stories came in: Eg
available on their Website in,their careers page * Interesting stories came in: Eg -
on their Website in their,careers page * Interesting stories came in: Eg - **the
their Website in their careers,page * Interesting stories came in: Eg - **the pivot
Website in their careers page,* Interesting stories came in: Eg - **the pivot that
in their careers page *,Interesting stories came in: Eg - **the pivot that happened
their careers page * Interesting,stories came in: Eg - **the pivot that happened in
careers page * Interesting stories,came in: Eg - **the pivot that happened in 1
The last question on stories,from organisation * Everyone’s calendar is open with other team
last question on stories from,organisation * Everyone’s calendar is open with other team members
png?version=1&modificationDate=1661403583970&cacheVersion=1&api=v2&width=680&height=310) * **Suvrat** : 6,person engineering team and check-in takes 1 hour daily, which
* **Suvrat** : 6 person,engineering team and check-in takes 1 hour daily, which is
**Suvrat** : 6 person engineering,team and check-in takes 1 hour daily, which is a
: 6 person engineering team,and check-in takes 1 hour daily, which is a challenge
6 person engineering team and,check-in takes 1 hour daily, which is a challenge *
person engineering team and check-in,takes 1 hour daily, which is a challenge * Doing
engineering team and check-in takes,1 hour daily, which is a challenge * Doing a
team and check-in takes 1,hour daily, which is a challenge * Doing a detailed
and check-in takes 1 hour,daily, which is a challenge * Doing a detailed culture
check-in takes 1 hour daily,,which is a challenge * Doing a detailed culture exercise
takes 1 hour daily, which,is a challenge * Doing a detailed culture exercise tomorrow
1 hour daily, which is,a challenge * Doing a detailed culture exercise tomorrow with
hour daily, which is a,challenge * Doing a detailed culture exercise tomorrow with the
daily, which is a challenge,* Doing a detailed culture exercise tomorrow with the broad
which is a challenge *,Doing a detailed culture exercise tomorrow with the broad team
is a challenge * Doing,a detailed culture exercise tomorrow with the broad team *
a challenge * Doing a,detailed culture exercise tomorrow with the broad team * **Marc**
challenge * Doing a detailed,culture exercise tomorrow with the broad team * **Marc** (
* Doing a detailed culture,exercise tomorrow with the broad team * **Marc** ( **UnRavel
Doing a detailed culture exercise,tomorrow with the broad team * **Marc** ( **UnRavel Carbon**
a detailed culture exercise tomorrow,with the broad team * **Marc** ( **UnRavel Carbon** )
detailed culture exercise tomorrow with,the broad team * **Marc** ( **UnRavel Carbon** ) *
culture exercise tomorrow with the,broad team * **Marc** ( **UnRavel Carbon** ) * We
exercise tomorrow with the broad,team * **Marc** ( **UnRavel Carbon** ) * We started
tomorrow with the broad team,* **Marc** ( **UnRavel Carbon** ) * We started with
with the broad team *,**Marc** ( **UnRavel Carbon** ) * We started with Daily
the broad team * **Marc**,( **UnRavel Carbon** ) * We started with Daily Stand-ups
broad team * **Marc** (,**UnRavel Carbon** ) * We started with Daily Stand-ups and
team * **Marc** ( **UnRavel,Carbon** ) * We started with Daily Stand-ups and have
* **Marc** ( **UnRavel Carbon**,) * We started with Daily Stand-ups and have been
**Marc** ( **UnRavel Carbon** ),* We started with Daily Stand-ups and have been through
( **UnRavel Carbon** ) *,We started with Daily Stand-ups and have been through several
**UnRavel Carbon** ) * We,started with Daily Stand-ups and have been through several iterations
Carbon** ) * We started,with Daily Stand-ups and have been through several iterations =>
) * We started with,Daily Stand-ups and have been through several iterations => Went
* We started with Daily,Stand-ups and have been through several iterations => Went from
We started with Daily Stand-ups,and have been through several iterations => Went from daily
started with Daily Stand-ups and,have been through several iterations => Went from daily to
with Daily Stand-ups and have,been through several iterations => Went from daily to three
Daily Stand-ups and have been,through several iterations => Went from daily to three times
Stand-ups and have been through,several iterations => Went from daily to three times a
and have been through several,iterations => Went from daily to three times a week
have been through several iterations,=> Went from daily to three times a week to
been through several iterations =>,Went from daily to three times a week to now
through several iterations => Went,from daily to three times a week to now once
several iterations => Went from,daily to three times a week to now once a
iterations => Went from daily,to three times a week to now once a week
=> Went from daily to,three times a week to now once a week -
Went from daily to three,times a week to now once a week - This
from daily to three times,a week to now once a week - This is
daily to three times a,week to now once a week - This is more
to three times a week,to now once a week - This is more information
three times a week to,now once a week - This is more information sharing
times a week to now,once a week - This is more information sharing rather
a week to now once,a week - This is more information sharing rather than
I feel a bit bad,for the team as this keeps on changing for the
feel a bit bad for,the team as this keeps on changing for the team
a bit bad for the,team as this keeps on changing for the team each
* For the team in,Vietnam, it could feel quite remote * One thing conscious
For the team in Vietnam,,it could feel quite remote * One thing conscious of:
the team in Vietnam, it,could feel quite remote * One thing conscious of: As
team in Vietnam, it could,feel quite remote * One thing conscious of: As we
in Vietnam, it could feel,quite remote * One thing conscious of: As we grow,
Vietnam, it could feel quite,remote * One thing conscious of: As we grow, how
it could feel quite remote,* One thing conscious of: As we grow, how do
could feel quite remote *,One thing conscious of: As we grow, how do we
feel quite remote * One,thing conscious of: As we grow, how do we maintain
quite remote * One thing,conscious of: As we grow, how do we maintain the
remote * One thing conscious,of: As we grow, how do we maintain the culture
* One thing conscious of:,As we grow, how do we maintain the culture *
One thing conscious of: As,we grow, how do we maintain the culture * Have
thing conscious of: As we,grow, how do we maintain the culture * Have put
conscious of: As we grow,,how do we maintain the culture * Have put it
of: As we grow, how,do we maintain the culture * Have put it in
As we grow, how do,we maintain the culture * Have put it in the
we grow, how do we,maintain the culture * Have put it in the agenda
grow, how do we maintain,the culture * Have put it in the agenda for
how do we maintain the,culture * Have put it in the agenda for upcoming
do we maintain the culture,* Have put it in the agenda for upcoming Off-site
we maintain the culture *,Have put it in the agenda for upcoming Off-site *
maintain the culture * Have,put it in the agenda for upcoming Off-site * **Viren**
the culture * Have put,it in the agenda for upcoming Off-site * **Viren** :
culture * Have put it,in the agenda for upcoming Off-site * **Viren** : During
* Have put it in,the agenda for upcoming Off-site * **Viren** : During the
Have put it in the,agenda for upcoming Off-site * **Viren** : During the hiring
put it in the agenda,for upcoming Off-site * **Viren** : During the hiring process,
it in the agenda for,upcoming Off-site * **Viren** : During the hiring process, do
in the agenda for upcoming,Off-site * **Viren** : During the hiring process, do we
the agenda for upcoming Off-site,* **Viren** : During the hiring process, do we specifically
agenda for upcoming Off-site *,**Viren** : During the hiring process, do we specifically screen
for upcoming Off-site * **Viren**,: During the hiring process, do we specifically screen for
upcoming Off-site * **Viren** :,During the hiring process, do we specifically screen for people
Off-site * **Viren** : During,the hiring process, do we specifically screen for people who
* **Viren** : During the,hiring process, do we specifically screen for people who have
**Viren** : During the hiring,process, do we specifically screen for people who have the
: During the hiring process,,do we specifically screen for people who have the similar
During the hiring process, do,we specifically screen for people who have the similar values?
the hiring process, do we,specifically screen for people who have the similar values? *
hiring process, do we specifically,screen for people who have the similar values? * We
process, do we specifically screen,for people who have the similar values? * We didn’t
do we specifically screen for,people who have the similar values? * We didn’t define
we specifically screen for people,who have the similar values? * We didn’t define it
specifically screen for people who,have the similar values? * We didn’t define it well
screen for people who have,the similar values? * We didn’t define it well yet,
for people who have the,similar values? * We didn’t define it well yet, so
people who have the similar,values? * We didn’t define it well yet, so we
who have the similar values?,* We didn’t define it well yet, so we haven’t
have the similar values? *,We didn’t define it well yet, so we haven’t necessarily
the similar values? * We,didn’t define it well yet, so we haven’t necessarily done
similar values? * We didn’t,define it well yet, so we haven’t necessarily done it
values? * We didn’t define,it well yet, so we haven’t necessarily done it best
* We didn’t define it,well yet, so we haven’t necessarily done it best ________________________________________________________________________________________________
We didn’t define it well,yet, so we haven’t necessarily done it best ________________________________________________________________________________________________ ##
didn’t define it well yet,,so we haven’t necessarily done it best ________________________________________________________________________________________________ ## Finding
define it well yet, so,we haven’t necessarily done it best ________________________________________________________________________________________________ ## Finding PMF
it well yet, so we,haven’t necessarily done it best ________________________________________________________________________________________________ ## Finding PMF -
well yet, so we haven’t,necessarily done it best ________________________________________________________________________________________________ ## Finding PMF - Prachi
yet, so we haven’t necessarily,done it best ________________________________________________________________________________________________ ## Finding PMF - Prachi Pawar
so we haven’t necessarily done,it best ________________________________________________________________________________________________ ## Finding PMF - Prachi Pawar and
we haven’t necessarily done it,best ________________________________________________________________________________________________ ## Finding PMF - Prachi Pawar and Anandmoyroy
haven’t necessarily done it best,________________________________________________________________________________________________ ## Finding PMF - Prachi Pawar and Anandmoyroy Choudhary
necessarily done it best ________________________________________________________________________________________________,## Finding PMF - Prachi Pawar and Anandmoyroy Choudhary ###
done it best ________________________________________________________________________________________________ ##,Finding PMF - Prachi Pawar and Anandmoyroy Choudhary ### **What
it best ________________________________________________________________________________________________ ## Finding,PMF - Prachi Pawar and Anandmoyroy Choudhary ### **What does
best ________________________________________________________________________________________________ ## Finding PMF,- Prachi Pawar and Anandmoyroy Choudhary ### **What does PMF
________________________________________________________________________________________________ ## Finding PMF -,Prachi Pawar and Anandmoyroy Choudhary ### **What does PMF mean
## Finding PMF - Prachi,Pawar and Anandmoyroy Choudhary ### **What does PMF mean for
